Process,Rev_num,Sw_rev,Sw,Pc,krw,kro,Swi
1,1,0.800451432794893,0.800451432794893,2752.63219821429,0.404819852378603,0.0,0.8
1,1,0.800451432794893,0.810446010188375,2274.6280875,0.415438853746617,0.0,0.8
1,1,0.800451432794893,0.820425749466196,2042.68160892857,0.426525873145435,0.0,0.8
1,1,0.800451432794893,0.830408802700497,1851.79201607143,0.439080164933658,0.0,0.8
1,1,0.800451432794893,0.840397006675171,1636.86807321429,0.467724534512872,0.0,0.8
1,1,0.800451432794893,0.850374875974211,1599.35045357143,0.496519431504921,0.0,0.8
1,1,0.800451432794893,0.860347312376315,1476.22315714286,0.545034288005739,0.0,0.8
1,1,0.800451432794893,0.870326365626418,1425.5304375,0.570653892850374,0.0,0.8
1,1,0.800451432794893,0.88030231515434,1384.0278375,0.583913492410467,0.0,0.8
1,1,0.800451432794893,0.890279072424577,1463.65134107143,0.630205673355675,0.0,0.8
1,1,0.800451432794893,0.900248510221653,1415.89979464286,0.674116224370437,0.0,0.8
1,1,0.800451432794893,0.910214617464803,1417.06520892857,0.697954089621545,0.0,0.8
1,1,0.800451432794893,0.920166273866005,1178.2989,0.727797837824885,0.0,0.8
1,1,0.800451432794893,0.930124818206804,885.489417857143,0.74199376292238,0.0,0.8
1,1,0.800451432794893,0.940113802261384,789.528546428571,0.766626190981816,0.0,0.8
0,2,0.940123062062526,0.940123062062526,853.058491071429,0.761100355387824,0.0,0.8
0,2,0.940123062062526,0.930143623168838,1013.32733035714,0.737268472636456,0.0,0.8
0,2,0.940123062062526,0.920196236676995,1458.09995892857,0.722592098131008,0.0,0.8
0,2,0.940123062062526,0.910228809127399,1764.90801964286,0.713447236161509,0.0,0.8
0,2,0.940123062062526,0.900245239084475,1817.60188392857,0.671630656547987,0.0,0.8
0,2,0.940123062062526,0.890320557300228,2396.53880357143,0.643925844985873,0.0,0.8
0,2,0.940123062062526,0.880341434057353,2212.39322142857,0.576287686833507,0.0,0.8
0,2,0.940123062062526,0.87036172381472,2000.63192678571,0.555826846194193,0.0,0.8
0,2,0.940123062062526,0.86040584797733,2257.85698392857,0.540955927873246,0.0,0.8
0,2,0.940123062062526,0.850405620431858,2202.85700892857,0.482953888194638,0.0,0.8
0,2,0.940123062062526,0.840446643463674,2592.12173035714,0.454243952348103,0.0,0.8
0,2,0.940123062062526,0.830494162256956,3292.095,0.441849258214258,0.0,0.8
0,2,0.940123062062526,0.820505724546233,2445.35829107143,0.432558259214799,0.0,0.8
0,2,0.940123062062526,0.810518826325439,2661.34314107143,0.418822520219683,0.0,0.8
0,2,0.940123062062526,0.800563664855678,3081.97266964286,0.411661017734172,0.0,0.8
0,2,0.940123062062526,0.790603264689969,3235.97099464286,0.403274308950921,0.0,0.8
0,2,0.940123062062526,0.780583018237678,2393.42778214286,0.380278351882433,0.0,0.8
0,2,0.940123062062526,0.77061154260485,2967.5079,0.377952848092029,0.0,0.8
0,2,0.940123062062526,0.760646989138971,2785.89466071429,0.371713020452349,0.072210614868297,0.8
0,2,0.940123062062526,0.750672035809466,2155.60445357143,0.359083046826007,0.0840080142981744,0.8
0,2,0.940123062062526,0.740696766829149,2487.66854464286,0.35596259425955,0.086068310015388,0.8
0,2,0.940123062062526,0.730713351842765,2634.47040535714,0.354916991609946,0.134542599700087,0.8
0,2,0.940123062062526,0.720737656456963,2686.35698035714,0.335312259549143,0.137557178103118,0.8
0,2,0.940123062062526,0.710769536690672,2706.78515892857,0.330053883506739,0.138376515214808,0.8
0,2,0.940123062062526,0.700801367084778,2565.145875,0.320704780282646,0.141560512542624,0.8
0,2,0.940123062062526,0.690832826450736,2923.33003928571,0.318890973203949,0.142644396757775,0.8
0,2,0.940123062062526,0.680821384994805,2219.99575714286,0.315426173098645,0.144524495401476,0.8
0,2,0.940123062062526,0.670866035242103,2492.04726964286,0.31322540121144,0.146957504068944,0.8
0,2,0.940123062062526,0.660875659324634,2544.050775,0.311080916284163,0.148094291593631,0.8
0,2,0.8703236465787,0.8703236465787,1648.27503214286,0.558499801347236,0.0,0.8
0,2,0.8703236465787,0.860357191573468,1935.64887321429,0.537678113048821,0.0,0.8
0,2,0.8703236465787,0.850387070581736,2211.52396071429,0.490836796522559,0.0,0.8
0,2,0.8703236465787,0.84041657856116,2424.24474642857,0.475191594780848,0.0,0.8
0,2,0.8703236465787,0.830453246843519,2915.98141071429,0.464510854658787,0.0,0.8
0,2,0.8703236465787,0.82046852835872,2745.65504464286,0.449083515615973,0.0,0.8
0,2,0.8703236465787,0.810499143886935,3264.20266071429,0.438590500546265,0.0,0.8
0,2,0.8703236465787,0.800523008905268,2330.84271964286,0.419638600728691,0.0,0.8
0,2,0.8703236465787,0.790541923180504,2954.69021785714,0.417200732084283,0.0,0.8
0,2,0.8703236465787,0.780573408134521,2902.92490178571,0.404240016281405,0.0,0.8
0,2,0.8703236465787,0.770609871520353,3383.25245357143,0.402576624041624,0.0,0.8
0,2,0.8703236465787,0.760595382124047,2502.64891607143,0.379124276220054,0.0,0.8
0,2,0.8703236465787,0.750621412400267,2837.59078928571,0.372603801798175,0.0,0.8
0,2,0.8703236465787,0.740651878409395,2892.36028392857,0.370084831685506,0.0728070797416557,0.8
0,2,0.8703236465787,0.730699184697893,2102.08081607143,0.359039159079251,0.0878084985750956,0.8
0,2,0.8703236465787,0.720716620395493,2397.44121964286,0.35569383206689,0.0896881726542992,0.8
0,2,0.8703236465787,0.710725705175208,2574.8094375,0.354254638829495,0.138289870285093,0.8
0,2,0.8703236465787,0.700748473720237,2656.3255125,0.334582491072687,0.13974663309498,0.8
0,2,0.8703236465787,0.69078037400505,2701.34885892857,0.329433649454302,0.141686347670238,0.8
0,2,0.8703236465787,0.680816793088931,2545.06618392857,0.320028613074029,0.144374386120343,0.8
0,2,0.8703236465787,0.670841510919833,2892.8086875,0.318180117146029,0.145604536021363,0.8
0,2,0.8703236465787,0.660873749007027,2218.8474,0.314209892304551,0.148565829971729,0.8
1,3,0.860397008310793,0.860397008310793,2242.77590357143,0.541158384027112,0.0,0.8
1,3,0.860397008310793,0.870341608844652,1751.40469285714,0.553886087897877,0.0,0.8
1,3,0.860397008310793,0.8803079988765,1544.67107142857,0.583018240271824,0.0,0.8
1,3,0.860397008310793,0.89027488210909,1469.01510535714,0.625725649477138,0.0,0.8
1,3,0.860397008310793,0.900250986533098,1488.14006785714,0.665551777449723,0.0,0.8
1,3,0.860397008310793,0.910219831485498,1480.56645,0.700449901670702,0.0,0.8
1,3,0.860397008310793,0.92016380027908,1139.31225535714,0.718597750306704,0.0,0.8
1,3,0.860397008310793,0.930124083488246,860.586230357143,0.732590881528574,0.0,0.8
1,3,0.860397008310793,0.94011036779725,803.772294642857,0.753026569937794,0.0,0.8
