Process;Rev_num;Sw_rev;Sw;Pc;krw;kro;
0;0;1;0,995022316491948;2037,56173928571;0,98526349493936;0;0,00497768399999998
0;0;1;0,985058756904694;1941,19606607143;0,95702067653227;0;0,0149412429999999
0;0;1;0,975046705256625;954,496757142857;0,951861542441212;0;0,0249532949999999
0;0;1;0,965049728602838;1006,1356875;0,868515494955764;0;0,034950271
0;0;1;0,955059479586763;1082,32371964286;0,856206501738905;0;0,04494052
0;0;1;0,945075261674012;1885,36690714286;0,838634742096768;0;0,0549247379999999
0;0;1;0,935097251762206;1700,45427857143;0,795926416218107;0;0,0649027479999999
0;0;1;0,925121945067196;2141,08251428571;0,764286904927224;0;0,074878055
0;0;1;0,91515727434175;2357,805375;0,747194501117819;0;0,0848427259999999
0;0;1;0,905186981588733;2102,931975;0,693593747901803;0;0,0948130179999999
0;0;1;0,895214980668047;2030,95325892857;0,624824672150571;0;0,104785019
0;0;1;0,885248590718831;2116,67127321429;0,535037949070433;0;0,114751409
0;0;1;0,875274174039985;2083,12354821429;0,489797851816215;0;0,124725826
0;0;1;0,865302554554798;2282,45599821429;0,454339688425946;0;0,134697445
0;0;1;0,855330166670563;2195,24535535714;0,456913691103436;0;0,144669833
0;0;1;0,845352250735619;2440,35459642857;0,447452689403007;0;0,154647749
0;0;1;0,835376142473257;2598,51158035714;0,435836411760983;0;0,164623858
0;0;1;0,82538634122929;3237,10812857143;0,420109738665274;0;0,174613659
0;0;1;0,815431294840127;2378,95997142857;0,413532366167903;0;0,184568705
0;0;1;0,80544618138316;2552,77483392857;0,408921032852849;0;0,194553819
0;0;1;0,795469835414618;3208,14353035714;0,400833545548574;0;0,204530164999999
0;0;1;0,785493859825472;2996,26524642857;0,399406124326798;0,0950007610801082;0,21450614
0;0;1;0,775520432667704;3274,33155535714;0,394468053250359;0,108480532712654;0,224479567
0;0;1;0,765552030508029;2808,05957678571;0,39419150737524;0,122146580410385;0,234447968999999
0;0;1;0,75557321350082;3277,19670535714;0,392432572041479;0,133017964465721;0,244426786
0;0;1;0,745624773132254;2073,78470357143;0,379270622315866;0,143239102261586;0,254375227
0;0;1;0,735641030631863;2370,54882321429;0,376345823222118;0,14842068680866;0,264358969
