Sw, kro, krw, Pc
0.0617889658435399 0.0 0.9581822785652904 0.0048385000232142854
0.0718063562512205 0.0 0.954792388362655 0.004149074389285714
0.0818339233219425 0.0 0.9477049273524312 0.0036876779142857143
0.0918805744024677 0.0 0.9350997039064678 0.003406567017857143
0.1018999822151857 0.0 0.9089145598524574 0.003187767348214285
0.111900358583509 0.0 0.8970149658181354 0.0029477854714285707
0.1219437904477675 0.0 0.8802233434405952 0.0028399108553571425
0.1319131714847732 0.0 0.8679763784535769 0.0027411737196428566
0.1419056032832863 0.0 0.8526278894006267 0.0026194039125000002
0.1519652905850628 0.0 0.8166380393868805 0.002546386982142857
0.1619580449691866 0.0 0.8027983946637389 0.0024656221875
0.1718995679997685 0.0 0.7798278632191493 0.002480041596428571
0.1818944698191503 0.0 0.7668890671666665 0.0024028398053571424
0.1918824678638056 0.0002356753506456 0.727738784762927 0.002400613516071429
0.201867676068582 0.0003777840354582 0.7067035919845118 0.0023425421035714283
0.2118525484080654 0.0006947899744561 0.6989020906826346 0.002336429073214286
0.2217851303393604 0.0010244385757694 0.6856264895439333 0.002214917742857143
0.2318101377513596 0.0011900159637859 0.6630943691892258 0.0022049661964285714
0.2417983687437716 0.0019557920608529 0.6506207607375618 0.0021443288035714286
0.2517852889208973 0.0028614013217625 0.6321068538781676 0.0021446654142857143
0.2617546323321371 0.0049208471058813 0.6043994209519202 0.0021097068535714286
0.2717367247915032 0.0065124234567703 0.5856877538793174 0.0021144664071428574
0.2817098966244254 0.0079019735253479 0.5774189904000981 0.0020410529303571427
0.2916944674044615 0.009911558712164 0.5691941468316111 0.0020328683142857144
0.3016838504092947 0.0116278581211589 0.5439726516135501 0.0020530912714285714
0.311650298849839 0.012992806767751 0.5331779062746532 0.0019571451696428566
0.3216566953407095 0.0142889072956182 0.4739622875760286 0.001956838167857143
0.3316388519852056 0.0168427647093305 0.455068797540871 0.0019321832303571432
0.3416189519389381 0.0197924426393663 0.4385574842237702 0.0019259206982142852
0.3515991354440038 0.0215920155499963 0.405061323436692 0.0019313259857142856
0.3615700015921232 0.0256071831166781 0.394237727010335 0.0018739311321428567
0.3715654633714331 0.0300709561457841 0.3627055951570057 0.0018573213910714284
0.3815403942089121 0.0315702123940186 0.3459547567024301 0.001872232575
0.3915249710754691 0.0360580649845818 0.3334521845893862 0.0017977833321428571
0.4014999688646787 0.0415826751310461 0.3056555448726479 0.0018228699803571427
0.4114617096579221 0.0484086430074347 0.2993895357556078 0.0017461146696428572
0.4214528422608707 0.0549443309904824 0.2702592006463672 0.0017631556767857143
0.4314243286808078 0.0592384052682021 0.2486257739758527 0.0017857236857142856
0.4413951323037574 0.0662420759016789 0.2432665960292123 0.0016988153089285715
0.4513798917659431 0.0670740791875508 0.1931100258091793 0.0017623680267857143
0.4613431995616731 0.0736824255948707 0.189989685816643 0.0016981521589285716
0.4713184640511647 0.0838085558269748 0.182787962277766 0.0017312911875000002
0.4812887027343053 0.0938239712171001 0.1794128675045972 0.0016557656357142855
0.4912737488162961 0.1045010510785667 0.17465998052632 0.0016368353732142858
0.5012592790533632 0.1088307935986931 0.1698149759176242 0.001645296032142857
0.5112261474638535 0.1150992632599815 0.1668301910065821 0.0015824328589285716
0.5212256827856444 0.1162467115348786 0.1401836273616701 0.0016559636035714284
0.5411419335852334 0.1288977091448539 0.1356752300307334 0.001538303919642857
0.5511239767991117 0.136116576083526 0.1304759086584863 0.001535422783928571
0.5610918605519618 0.1428872347848909 0.1257013608498301 0.001504906821428571
0.5710718459684363 0.1517049183465174 0.1155144342682088 0.0015175412464285714
0.5810369028089616 0.1636007990496831 0.0536360853448617 0.0014688266249999998
0.5910315124753374 0.1674333620691665 0.0545750306381984 0.0015589539803571428
0.6009739883231092 0.1767444474723255 0.0518602365837417 0.0014416255607142857
0.6109423650841568 0.1874849643458293 0.046689340126258 0.0014050578267857145
0.620914659351421 0.2003044963712199 0.03780551456212 0.0014016880607142857
0.6308852327932144 0.2108621449529131 0.0322979802710989 0.0013483505196428573
0.6408917167086587 0.2479327689252238 0.0 0.0015390218357142858
0.6507775322237963 0.2603753552209734 0.0 0.0013964633517857142
0.660763134049587 0.2807790887189433 0.0 0.0014088089785714286
0.6707261112498839 0.2913914643076748 0.0 0.0013821054857142856
0.680671224861752 0.3022969502197322 0.0 0.001285787019642857
0.6906274401700591 0.3119060509527251 0.0 0.0012309922607142854
0.7006204135666255 0.3113286914817647 0.0 0.0012460752
0.7105794075320943 0.3262548514333836 0.0 0.001220510475
0.7205720276081616 0.3363148107153968 0.0 0.0012737263660714286
0.7305272292893706 0.3421157287235492 0.0 0.0012286956910714287
0.7404574354384269 0.3469382507122511 0.0 0.0010732277517857144
0.7504155333832948 0.3518618479989945 0.0 0.0010279494642857143
0.7602886132284568 0.3627253920849116 0.0 0.0008042018946428571
0.7702784202668325 0.3686490156657062 0.0 0.0007517908232142857
0.7803440128709512 0.3743982944086222 0.0 0.0009225272571428572

0.0718764959590726, 0.0, 0.895425550725688, 0.005322106082142859
0.0819023748120062, 0.0, 0.856302302144702, 0.00498823452321429
0.0919219303885401, 0.0, 0.815856856793028, 0.00474260241964286
0.101961207178954, 0.0, 0.767650420668636, 0.00456272446071429
0.111960804203864, 0.0, 0.752310937529274, 0.00415372847678571
0.121953287196244, 0.0, 0.749190163323047, 0.00395514272678571
0.131945465753059, 0.0, 0.736119687948311, 0.0037576769678571396
0.141931125839816, 0.0, 0.734463178799629, 0.00349519937142857
0.151907704985213, 0.0, 0.732330096002235, 0.00319279236964286
0.161897992603458, 0.0, 0.729527085807782, 0.0029953228928571397
0.171879207598255, 0.0, 0.725969235316722, 0.0027864168642857097
0.181855508370877, 0.0, 0.721176191613034, 0.00261288965357143
0.191833054057603, 0.0, 0.714786093872336, 0.0024556373357142902
0.201813790495219, 0.0003965480333215, 0.70740026372853, 0.0022947343017857102

0.2067965472299617, 0.0059522033651078, 0.7599900870622572, 0.0027764483625
0.2168066351630103, 0.0067519775418246, 0.7523870696630734, 0.002490743892857143
0.226797610107808, 0.0056438786765134, 0.7334755678007391, 0.002284183757142857
0.2318271839054994, 0.0057705659887009, 0.7248019080957776, 0.002502496108928571
0.2416280291894411, 0.0056225959336852, 0.7068523664605948, 0.002042669780357143
0.2518004910333601, 0.0060649889239324, 0.6904028240615175, 0.002134221053571429
0.2618015044434178, 0.0065662106323976, 0.6764122820398041, 0.002071440744642857
0.2718204526875817, 0.0068095299934313, 0.6581074571135581, 0.0022731370178571426
0.2817819141890228, 0.0071311192670022, 0.6438930377292296, 0.002121684798214286
0.2917855490154977, 0.0072932059307479, 0.6253121654695101, 0.0021240567642857146
0.301753022781457, 0.0079633296888866, 0.6095253939825863, 0.0020166000107142857
0.3117465496936617, 0.0086396659192026, 0.5862048058932126, 0.001986552648214286
0.3217261945205421, 0.0094414956956959, 0.5722186060084078, 0.001966039933928572
0.3317033210047646, 0.0106077280548601, 0.5559634305229549, 0.0019041022071428569
0.3416980246292909, 0.0121508919915154, 0.5366791642480025, 0.001922148460714286
0.3516599374266508, 0.0186462133792013, 0.5234398440754718, 0.0018394908214285715
0.3616475133614374, 0.0221361013866453, 0.4926291984744947, 0.0018339982446428568
0.3716229901083567, 0.027548441562838, 0.4618231362402546, 0.0017970690910714285
0.3816013612778663, 0.0296425174970025, 0.4371442312339074, 0.001771839257142857
0.3915818111943797, 0.0324804288230083, 0.4139165327104029, 0.0017742491517857145
0.4013075496943247, 0.0373764840961596, 0.4008115775522136, 0.0020687476446428566
0.4112759984823309, 0.0408533247862924, 0.3857714445477355, 0.0019411217196428569
0.4212711461597551, 0.0437105087673774, 0.3508647164628824, 0.0019060211785714284
0.4312525254115678, 0.0529643246011083, 0.3309347583476175, 0.0019540937089285713
0.4412252559392479, 0.0570820630907668, 0.3114415227134367, 0.001905986046428572
0.4512016469782693, 0.0611267105506609, 0.2969359710903741, 0.0018908084196428568
0.461175541960851, 0.0690360914399354, 0.2600743164772918, 0.0018918843535714288
0.4711467642687136, 0.0774137219406489, 0.2306894034892929, 0.0018892053374999999
0.4811150681963013, 0.0832248809591105, 0.2009359878156422, 0.0018589259410714285
0.4910879374556898, 0.0891714454965728, 0.1941597776118295, 0.00180152685
0.5010666635332244, 0.0983904100529153, 0.1753841524707603, 0.0018154985089285718
0.5110394525622273, 0.1056553953101544, 0.1539565318323263, 0.0017872813660714285
0.5210100631133999, 0.1140321155703159, 0.146704288334616, 0.0017393861357142854
0.5309837073760267, 0.1198479415818549, 0.1498714478204201, 0.0016947054803571426
0.5409765311580469, 0.1221373187931786, 0.1363430764184736, 0.0017314557107142854
0.5509587990728109, 0.1294322068999289, 0.1334455041313422, 0.001663256667857143
0.5609434995282927, 0.1378569077729316, 0.1307804581002684, 0.0016528610624999998
0.5709047314816863, 0.1434611446693073, 0.1305800733065284, 0.0016675805785714283
0.5808917374464421, 0.1523775217864709, 0.1261658360185563, 0.0016084817625
0.5908389625116893, 0.163799620674136, 0.1117486275831995, 0.001569036332142857
0.6008052478650625, 0.1698226148621858, 0.0526863377798155, 0.0015277556410714286
0.6107989006944001, 0.1785597823399341, 0.050478065253151, 0.0015802367517857145
0.6207568454306074, 0.1941873421402055, 0.0470838892005667, 0.001509527555357143
0.6307665610517215, 0.2094223084359759, 0.0373788159844995, 0.0015290377982142855
0.6407473157322688, 0.2133761778950976, 0.0260411443203281, 0.0015376761964285713
0.6507136122287511, 0.2309323058443635, 0.0, 0.001409972255357143
0.6606924335798685, 0.2630269695752095, 0.0, 0.0015681812249999998
0.6706852395329141, 0.2767963038444074, 0.0, 0.0014252407446428569
0.6806020271956381, 0.2866479370467342, 0.0, 0.0014787424607142856
0.6905475306505284, 0.2965729684448066, 0.0, 0.0013793539071428572
0.7005034083399965, 0.3119256548967685, 0.0, 0.0013177676410714289
0.7104926819274554, 0.3186365078991109, 0.0, 0.0013593770785714284
0.7204363356262342, 0.3284970505230948, 0.0, 0.0012521327142857143
