Sw, kro, krw, Pc
0.351431032800229, 0.0398456981444521, 0.528739390008566, 0.00358138845
0.361432077751553, 0.0403159290568806, 0.526319677929232, 0.00320747758392857
0.371446513269451, 0.0407062147960245, 0.523352438467698, 0.0028979777357142898
0.381441012951689, 0.0411881823436973, 0.516279161771376, 0.00267729728035714
0.39143973683457, 0.0417035811291695, 0.506473346154431, 0.0024803656607142897
0.40143301592155, 0.0436301663689757, 0.495260871162928, 0.00237692709642857
0.411413485677793, 0.0549626515918395, 0.486049815728555, 0.0022923517875
0.421391036523017, 0.0589493524305875, 0.47825328376114, 0.00218072363571429
0.431374246944622, 0.0607655637665722, 0.467317628038561, 0.00206615309464286
0.441368203032963, 0.06458222009118, 0.459764464803885, 0.00207782160535714
0.451349752780747, 0.0671625043933982, 0.440178066210029, 0.00201885538392857
0.461292238498246, 0.0727908883955828, 0.416465527895697, 0.0020083743
0.47127730112472, 0.0782806601302496, 0.388456541602134, 0.0019453123875
0.481262001170742, 0.0863746123939222, 0.333975749808644, 0.0019460747678571397
0.491229215428548, 0.088785809060319, 0.326186985441699, 0.0019633329000000002
0.501202550930057, 0.0938475136401396, 0.319037206725841, 0.0018712455482142898
0.511216051488594, 0.0971718906460159, 0.293712030927594, 0.00183035232321429
0.521196404444112, 0.10018454081862, 0.274577005506392, 0.0018510384642857099
0.531161244491912, 0.107985009656832, 0.26402178530497, 0.00181196209821429
0.541135618468117, 0.115112984412613, 0.253884584231948, 0.0017098973517857099
0.550936717184309, 0.11521448749155, 0.186729625507578, 0.00211019336785714
0.561087020177292, 0.123650891227621, 0.179943187159047, 0.00172604483035714
0.571065975952568, 0.12765354700721, 0.165793980238292, 0.0017247998035714298
0.581047527914585, 0.137371323386034, 0.151741073873177, 0.0016546774928571399
0.590965752848237, 0.154679828916589, 0.147249778128865, 0.00176916980357143
0.600901985021685, 0.164162848467543, 0.144442076818352, 0.0017324914071428599
0.610933888613946, 0.174868949885548, 0.141804410372786, 0.0017415620249999998
0.620983506060294, 0.18083499775214, 0.138161860872626, 0.00155506502678571
0.630962827183811, 0.187705930868517, 0.136874539502309, 0.0015528636696428599
