0.41,0.0474071,0.453445,0.59,0
0.422759,0.0555066,0.441166,0.59,0
0.435517,0.0621133,0.42568,0.59,0
0.448276,0.0668154,0.403441,0.59,0
0.461034,0.0734777,0.373883,0.59,0
0.473793,0.0862944,0.345975,0.59,0
0.486552,0.0994518,0.319756,0.59,0
0.49931,0.107986,0.296543,0.59,0
0.512069,0.115196,0.268569,0.59,0
0.524828,0.118535,0.248886,0.59,0
0.537586,0.126639,0.206884,0.59,0
0.550345,0.135553,0.176182,0.59,0
0.563103,0.144665,0.148902,0.59,0
0.575862,0.157423,0.120887,0.59,0
0.588621,0.166509,0.0885284,0.59,0
0.601379,0.177181,0.0819387,0.59,0
0.614138,0.191593,0.0724877,0.59,0
0.626897,0.206639,0.0617124,0.59,0
0.639655,0.243352,0.0431351,0.59,0
0.652414,0.263719,0.0230765,0.59,0
0.665172,0.285476,0.00970267,0.59,0
0.677931,0.299292,0,0.59,0
0.69069,0.311902,0,0.59,0
0.703448,0.315567,0,0.59,0
0.716207,0.33192,0,0.59,0
0.728966,0.341206,0,0.59,0
0.741724,0.347565,0,0.59,0
0.754483,0.356337,0,0.59,0
0.767241,0.366848,0,0.59,0
0.78,0.374202,0,0.59,0
0.35,0.0213037,0.522323,0.65,0
0.364828,0.027062,0.508381,0.65,0
0.379655,0.0312869,0.493469,0.65,0
0.394483,0.0376962,0.466929,0.65,0
0.40931,0.0469345,0.434209,0.65,0
0.424138,0.0561006,0.408361,0.65,0
0.438966,0.0645355,0.37237,0.65,0
0.453793,0.0686747,0.348148,0.65,0
0.468621,0.08107,0.316081,0.65,0
0.483448,0.0961332,0.297228,0.65,0
0.498276,0.107537,0.249143,0.65,0
0.513103,0.115315,0.214357,0.65,0
0.527931,0.120506,0.183617,0.65,0
0.542759,0.130067,0.159357,0.65,0
0.557586,0.140506,0.129834,0.65,0
0.572414,0.153307,0.0983561,0.65,0
0.587241,0.16598,0.0913612,0.65,0
0.602069,0.177924,0.073952,0.65,0
0.616897,0.195139,0.0685021,0.65,0
0.631724,0.21397,0.0285972,0.65,0
0.646552,0.255057,0.0243816,0.65,0
0.661379,0.281435,0.000518109,0.65,0
0.676207,0.297402,0,0.65,0
0.691034,0.311883,0,0.65,0
0.705862,0.319185,0,0.65,0
0.72069,0.336383,0,0.65,0
0.735517,0.344539,0,0.65,0
0.750345,0.351827,0,0.65,0
0.765172,0.365621,0,0.65,0
0.78,0.374202,0,0.65,0
0.25,0.00269951,0.625658,0.75,0
0.268276,0.00596061,0.609251,0.75,0
0.286552,0.00887648,0.595339,0.75,0
0.304828,0.0120584,0.56335,0.75,0
0.323103,0.014659,0.532524,0.75,0
0.341379,0.0197216,0.494764,0.75,0
0.359655,0.0248361,0.450745,0.75,0
0.377931,0.0310277,0.426712,0.75,0
0.396207,0.0386511,0.394997,0.75,0
0.414483,0.0503849,0.366631,0.75,0
0.432759,0.0601756,0.339975,0.75,0
0.451034,0.0670453,0.282832,0.75,0
0.46931,0.0817701,0.243089,0.75,0
0.487586,0.100558,0.209863,0.75,0
0.505862,0.111726,0.174248,0.75,0
0.524138,0.118097,0.134897,0.75,0
0.542414,0.129817,0.115525,0.75,0
0.56069,0.142614,0.107847,0.75,0
0.578966,0.161128,0.0879744,0.75,0
0.597241,0.173249,0.0811833,0.75,0
0.615517,0.193366,0.0343442,0.75,0
0.633793,0.221635,0.0291304,0.75,0
0.652069,0.263014,0.00314911,0.75,0
0.670345,0.290985,0,0.75,0
0.688621,0.309969,0,0.75,0
0.706897,0.320735,0,0.75,0
0.725172,0.338995,0,0.75,0
0.743448,0.348417,0,0.75,0
0.761724,0.363577,0,0.75,0
0.78,0.374202,0,0.75,0
0.0618,0,0.952416,0.9382,0
0.0865655,0,0.927968,0.9382,0
0.111331,0,0.910167,0.9382,0
0.136097,0,0.865369,0.9382,0
0.160862,0,0.828941,0.9382,0
0.185628,8.80861e-05,0.76934,0.9382,0
0.210393,0.000648455,0.706529,0.9382,0
0.235159,0.00144674,0.670044,0.9382,0
0.259924,0.00454271,0.628036,0.9382,0
0.28469,0.00850171,0.57265,0.9382,0
0.309455,0.0126922,0.54425,0.9382,0
0.334221,0.0176058,0.466344,0.9382,0
0.358986,0.0245667,0.409996,0.9382,0
0.383752,0.0325642,0.350704,0.9382,0
0.408517,0.046391,0.306205,0.9382,0
0.433283,0.0605438,0.25742,0.9382,0
0.458048,0.071497,0.197067,0.9382,0
0.482814,0.0954548,0.175828,0.9382,0
0.507579,0.112806,0.164675,0.9382,0
0.532345,0.12331,0.134603,0.9382,0
0.55711,0.140183,0.125773,0.9382,0
0.581876,0.163923,0.0687153,0.9382,0
0.606641,0.182851,0.0486995,0.9382,0
0.631407,0.212795,0.0318571,0.9382,0
0.656172,0.271399,0,0.9382,0
0.680938,0.302554,0,0.9382,0
0.705703,0.318947,0,0.9382,0
0.730469,0.342082,0,0.9382,0
0.755234,0.357164,0,0.9382,0
0.78,0.374202,0,0.9382,0
