Process,Rev_num,Sw_rev,Sw,Pc,krw,kro,Swi
1,1,0.351431032800229,0.351431032800229,3581.38845,0.0398456981444521,0.528739390008566,0.35
1,1,0.351431032800229,0.361432077751553,3207.47758392857,0.0403159290568806,0.526319677929232,0.35
1,1,0.351431032800229,0.371446513269451,2897.97773571429,0.0407062147960245,0.523352438467698,0.35
1,1,0.351431032800229,0.381441012951689,2677.29728035714,0.0411881823436973,0.516279161771376,0.35
1,1,0.351431032800229,0.39143973683457,2480.36566071429,0.0417035811291695,0.506473346154431,0.35
1,1,0.351431032800229,0.40143301592155,2376.92709642857,0.0436301663689757,0.495260871162928,0.35
1,1,0.351431032800229,0.411413485677793,2292.3517875,0.0549626515918395,0.486049815728555,0.35
1,1,0.351431032800229,0.421391036523017,2180.72363571429,0.0589493524305875,0.47825328376114,0.35
1,1,0.351431032800229,0.431374246944622,2066.15309464286,0.0607655637665722,0.467317628038561,0.35
1,1,0.351431032800229,0.441368203032963,2077.82160535714,0.06458222009118,0.459764464803885,0.35
1,1,0.351431032800229,0.451349752780747,2018.85538392857,0.0671625043933982,0.440178066210029,0.35
1,1,0.351431032800229,0.461292238498246,2008.3743,0.0727908883955828,0.416465527895697,0.35
1,1,0.351431032800229,0.47127730112472,1945.3123875,0.0782806601302496,0.388456541602134,0.35
1,1,0.351431032800229,0.481262001170742,1946.07476785714,0.0863746123939222,0.333975749808644,0.35
1,1,0.351431032800229,0.491229215428548,1963.3329,0.088785809060319,0.326186985441699,0.35
1,1,0.351431032800229,0.501202550930057,1871.24554821429,0.0938475136401396,0.319037206725841,0.35
1,1,0.351431032800229,0.511216051488594,1830.35232321429,0.0971718906460159,0.293712030927594,0.35
1,1,0.351431032800229,0.521196404444112,1851.03846428571,0.10018454081862,0.274577005506392,0.35
1,1,0.351431032800229,0.531161244491912,1811.96209821429,0.107985009656832,0.26402178530497,0.35
1,1,0.351431032800229,0.541135618468117,1709.89735178571,0.115112984412613,0.253884584231948,0.35
1,1,0.351431032800229,0.550936717184309,2110.19336785714,0.11521448749155,0.186729625507578,0.35
1,1,0.351431032800229,0.561087020177292,1726.04483035714,0.123650891227621,0.179943187159047,0.35
1,1,0.351431032800229,0.571065975952568,1724.79980357143,0.12765354700721,0.165793980238292,0.35
1,1,0.351431032800229,0.581047527914585,1654.67749285714,0.137371323386034,0.151741073873177,0.35
1,1,0.351431032800229,0.590965752848237,1769.16980357143,0.154679828916589,0.147249778128865,0.35
1,1,0.351431032800229,0.600901985021685,1732.49140714286,0.164162848467543,0.144442076818352,0.35
1,1,0.351431032800229,0.610933888613946,1741.562025,0.174868949885548,0.141804410372786,0.35
1,1,0.351431032800229,0.620983506060294,1555.06502678571,0.18083499775214,0.138161860872626,0.35
1,1,0.351431032800229,0.630962827183811,1552.86366964286,0.187705930868517,0.136874539502309,0.35
1,1,0.351431032800229,0.640939197843507,1568.4328125,0.193636357130468,0.136946855380225,0.35
1,1,0.351431032800229,0.65090400467783,1484.64711964286,0.203864469684768,0.133271648185915,0.35
1,1,0.351431032800229,0.660883237232077,1501.42456071429,0.218830287820153,0.125826031641473,0.35
1,1,0.351431032800229,0.670847900141336,1460.68695,0.230677872703502,0.121245530714869,0.35
1,1,0.351431032800229,0.680821359086266,1448.31399642857,0.240318960511722,0.100301389331032,0.35
1,1,0.351431032800229,0.690792282735829,1439.62600714286,0.248944808464723,0.0506812708276829,0.35
1,1,0.351431032800229,0.700753447158906,1402.97012678571,0.261714373751686,0.0466524496527215,0.35
1,1,0.351431032800229,0.710727526088729,1347.9397875,0.275739186491001,0.0356742104326594,0.35
1,1,0.351431032800229,0.720712172439631,1447.96485535714,0.302374996110169,0.0,0.35
1,1,0.351431032800229,0.730675058427902,1469.27997857143,0.334676683279629,0.0,0.35
1,1,0.351431032800229,0.740614135889163,1304.37128035714,0.347922371919626,0.0,0.35
1,1,0.351431032800229,0.750593119342337,1356.68621785714,0.362795252243176,0.0,0.35
1,1,0.351431032800229,0.760554178589405,1314.93311785714,0.365161572120522,0.0,0.35
1,1,0.351431032800229,0.770504305067154,1234.41201964286,0.378688116608569,0.0,0.35
