TStep[d],Defaulta,bestTol,cnvminmaxresid,iterationNumber
1.50e+01,5.00e-03,5.00e-03,7.94e+00,0
1.50e+01,5.00e-03,6.00e-03,4.26e+01,1
1.50e+01,5.00e-03,6.00e-03,1.91e+02,2
1.50e+01,5.00e-03,6.00e-03,2.74e+01,3
1.50e+01,5.00e-03,5.00e-03,6.89e+00,4
1.50e+01,5.00e-03,5.00e-03,1.75e+01,5
1.50e+01,5.00e-03,6.00e-03,3.23e+01,6
1.50e+01,5.00e-03,6.00e-03,9.29e+00,7
1.50e+01,5.00e-03,6.00e-03,8.34e-01,8

2.00e+00,5.00e-03,5.00e-03,8.76e-01,0
2.00e+00,5.00e-03,6.00e-03,7.15e-01,1

1.10e+01,5.00e-03,5.00e-03,1.91e+00,0
1.10e+01,5.00e-03,6.00e-03,1.03e+00,1
1.10e+01,5.00e-03,5.00e-03,2.86e-01,2

2.30e+01,5.00e-03,5.00e-03,1.67e+01,0
2.30e+01,5.00e-03,6.00e-03,4.66e+01,1
2.30e+01,5.00e-03,6.00e-03,1.61e+01,2
2.30e+01,5.00e-03,5.00e-03,4.81e+00,3
2.30e+01,5.00e-03,6.00e-03,7.22e-01,4

5.00e+00,5.00e-03,5.00e-03,5.36e+00,0
5.00e+00,5.00e-03,6.00e-03,7.38e+00,1
5.00e+00,5.00e-03,6.00e-03,7.05e+00,2
5.00e+00,5.00e-03,5.00e-03,9.81e+01,3
5.00e+00,5.00e-03,6.00e-03,1.70e+01,4
5.00e+00,5.00e-03,6.00e-03,5.46e+00,5
5.00e+00,5.00e-03,6.00e-03,5.95e+00,6
5.00e+00,5.00e-03,6.00e-03,1.61e+00,7
5.00e+00,5.00e-03,6.00e-03,4.63e-01,8

4.00e+00,5.00e-03,5.00e-03,2.42e-01,0
4.00e+00,5.00e-03,6.00e-03,1.78e-01,1

1.80e+01,5.00e-03,5.00e-03,2.00e+01,0
1.80e+01,5.00e-03,6.00e-03,1.95e+01,1
1.80e+01,5.00e-03,5.00e-03,1.24e+02,2
1.80e+01,5.00e-03,6.00e-03,2.43e+01,3
1.80e+01,5.00e-03,5.00e-03,2.20e+01,4
1.80e+01,5.00e-03,5.00e-03,1.07e+00,5
1.80e+01,5.00e-03,5.00e-03,2.52e-01,6

3.00e+00,5.00e-03,5.00e-03,2.29e+00,0
3.00e+00,5.00e-03,6.00e-03,2.53e+00,1
3.00e+00,5.00e-03,6.00e-03,5.01e+00,2
3.00e+00,5.00e-03,6.00e-03,1.24e+00,3
3.00e+00,5.00e-03,6.00e-03,3.13e-01,4

2.00e+00,5.00e-03,5.00e-03,2.92e-01,0
2.00e+00,5.00e-03,6.00e-03,3.01e-01,1

4.00e+00,5.00e-03,5.00e-03,2.67e-01,0
4.00e+00,5.00e-03,6.00e-03,1.12e+00,1
4.00e+00,5.00e-03,6.00e-03,7.15e+00,2
4.00e+00,5.00e-03,6.00e-03,2.13e+00,3
4.00e+00,5.00e-03,5.00e-03,1.23e-01,4

3.00e+01,5.00e-03,5.00e-03,2.41e+00,0
3.00e+01,5.00e-03,5.00e-03,5.04e+01,1
3.00e+01,5.00e-03,5.00e-03,3.94e+01,2
3.00e+01,5.00e-03,5.00e-03,5.27e+01,3
3.00e+01,5.00e-03,5.00e-03,1.76e+01,4
3.00e+01,5.00e-03,6.00e-03,1.02e+01,5
3.00e+01,5.00e-03,5.00e-03,4.40e+00,6
3.00e+01,5.00e-03,6.00e-03,2.95e+00,7
3.00e+01,5.00e-03,5.00e-03,7.41e-01,8

3.00e+00,5.00e-03,5.00e-03,4.49e-01,0
3.00e+00,5.00e-03,5.00e-03,3.22e-01,1

1.00e+00,5.00e-03,5.00e-03,6.14e-02,0
1.00e+00,5.00e-03,5.00e-03,4.18e-02,1

